book_title,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,588,1110,На складе,47
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2693,5081,На складе,47
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование,Рафгарден Тим,Питер:Библиотека программиста,1385,1776,На складе,22
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1025,1934,На складе,47
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,2599,4903,На складе,47
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1367,2580,На складе,47
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1230,2321,На складе,47
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1557,1996,На складе,22
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1100,2075,Ограничено,47
Введение в информационный поиск,Маннинг Кристофер Д. и др.,Вильямс,4472,8438,На складе,47
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,4122,7778,На складе,47
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,3481,6567,Ограничено,47
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1731,2371,На складе,27
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2187,4127,На складе,47
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1367,2580,На складе,47
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,1367,2580,На складе,47
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,1229,2318,На складе,47
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,751,1417,На складе,47
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1230,2321,На складе,47
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1512,1938,На складе,22
Laravel. Полное руководство,Стаффер Мэтт,Питер:Бестселлеры O`Reilly,1952,2502,На складе,22
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,4472,8438,На складе,47
Изучаем Python. Том 2,Лутц Марк,Вильямс,3481,6567,На складе,47
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,1640,3095,На складе,47
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,484,913,На складе,47
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,1640,3095,На складе,47
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2061,3888,На складе,47
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,825,1556,На складе,47
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,2184,4120,На складе,47
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,904,1706,На складе,47
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения,Будума Нихиль,"Манн, Иванов и Фербер",1800,2466,На складе,27
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,1374,2592,На складе,47
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,1367,2580,На складе,47
ELIXIR в действии,Юрич Саша,ДМК-Пресс,1640,3095,На складе,47
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1367,2580,На складе,47
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,1786,3370,На складе,47
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1818,2491,На складе,27
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1230,2321,Ограничено,47
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1230,2321,На складе,47
JavaFX,Прохоренок Николай Анатольевич,BHV:В подлиннике,1014,1913,Ограничено,47
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум:Среднее профессиональное образование,1058,1996,На складе,47
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум:Среднее профессиональное образование,879,1659,На складе,47
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1094,2064,На складе,47
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,4472,8438,На складе,47
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,820,1547,На складе,47
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1230,2321,На складе,47
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,1367,2580,На складе,47
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,1498,2826,На складе,47
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,1143,1466,На складе,22
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,1778,3354,На складе,47
Разработка игр на Unreal Engine 4 за 24 часа,Куксон Арам и др.,Бомбора:Мировой компьютерный бестселлер,2078,2846,На складе,27
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,833,1572,На складе,47
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,1115,1430,На складе,22
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,415,783,На складе,47
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1299,2450,На складе,47
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),2416,3098,На складе,22
Изучаем pandas,"Хейдт Майкл, Груздев Артем Владимирович",ДМК-Пресс,2325,4386,На складе,47
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,2051,3869,На складе,47
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Бакалавриат,1552,2929,На складе,47
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,1745,3292,На складе,47
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань:Учебники для вузов. Специальная литература,474,895,На складе,47
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер:Head First (O'Reilly),2516,3226,На складе,22
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс:Машинное обучение,1367,2580,На складе,47
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,5851,11040,На складе,47
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,5495,10368,На складе,47
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,2981,5625,На складе,47
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,3481,6567,На складе,47
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1470,2774,На складе,47
Язык и среда программирования R. Учебное пособие,Золотарюк Анатолий Васильевич,ИНФРА-М:Высшее образование. Бакалавриат,770,1452,На складе,47
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер:Для профессионалов,1562,2002,На складе,22
Язык программирования С++ (стандарт С++11). Краткий курс,Страуструп Бьерн,Бином,361,682,На складе,47
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,1778,3354,На складе,47
Java за 24 часа,Кейденхед Роджерс,Диалектика,1374,2592,На складе,47
Совершенный алгоритм. Основы,Рафгарден Тим,Питер:Библиотека программиста,1158,1485,На складе,22
Машинное обучение и TensorFlow,Шакла Нишант,Питер:Библиотека программиста,1501,1924,На складе,22
Дискретная математика. Учимся программировать в Wolfram Mathematica,"Фридман Григорий Морицович, Иванов О. А.",Питер:Учебник для вузов,931,1193,На складе,22
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1,Горелов Сергей Витальевич,Прометей,839,1583,На складе,47
Основы технологий баз данных. Учебное пособие,"Новиков Борис Асенович, Горшкова Екатерина Александровна",ДМК-Пресс,820,1547,На складе,47
Mathematica 5/6/7. Полное руководство,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1230,2321,Ограничено,47
Git для профессионального программиста,"Чакон Скотт, Страуб Бен",Питер:Библиотека программиста,1427,1830,На складе,22
Простой Python просто с нуля,Гаско Рик,Солон-пресс:Программирование,643,1214,На складе,47
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна",Лань:Учебники для вузов. Специальная литература,1048,1978,На складе,47
Основы алгоритмизации и программирования (ОП.04). Практикум,Серкова Екатерина Геннадьевна,Феникс:Среднее профессиональное образование,459,589,На складе,22
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора:Российский компьютерный бестселлер,1080,1480,На складе,27
"Компиляторы. Принципы, технологии и инструментарий",Ахо Альфред В. и др.,Диалектика,6869,12960,На складе,47
Архитектура вычислительных систем и Ассемблер,"Гагарина Лариса Геннадьевна, Кононова Александра Игоревна",Солон-пресс:Библиотека студента,753,1421,На складе,47
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Высшее образование,567,1069,На складе,47
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Среднее профессиональное образование,646,1219,На складе,47
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский Яков Самуилович, Гутгарц Римма Давыдовна",ИНФРА-М:Среднее профессиональное образование,1182,2230,На складе,47
Java. Эффективное программирование,Блох Джошуа,Вильямс,3481,6567,Ограничено,47
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2077,2663,На складе,22
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2051,3869,На складе,47
Смарт-карты и информационная безопасность,"Мытник Константин Яковлевич, Панасенко Сергей Петрович",ДМК-Пресс:Безопасность и защита,1367,2580,На складе,47
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,2981,5625,На складе,47
Изучаем регулярные выражения,Форта Бен,Вильямс,1100,2075,Ограничено,47
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Диалектика,2749,5186,На складе,47
Паскаль для школьников. Учебное пособие,Попов В. Б.,РИОР,2267,3487,На складе,35
Python. Экспресс-курс,Седер Наоми,Питер:Библиотека программиста,1544,1980,На складе,22
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер:Классика computer science,2026,2597,На складе,22
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,3481,6567,На складе,47
Алгоритмы. Построение и анализ,Кормен Томас и др.,Диалектика,8778,16562,На складе,47
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,1230,2321,На складе,47
Программируй на Haskell,Курт Уилл,ДМК-Пресс:Функциональное программирование,1640,3095,На складе,47
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Магистратура,2185,4122,На складе,47
Алгоритмы на C++,Седжвик Роберт,Вильямс,5851,11040,Ограничено,47
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер:Библиотека программиста,780,1000,На складе,22
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,549,1035,На складе,47
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань:Учебники для вузов. Специальная литература,655,1236,На складе,47
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань:Учебники для вузов. Специальная литература,854,1612,Ограничено,47
Программируем на Python,Доусон Майкл,Питер,1257,1611,На складе,22
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,1100,2075,Ограничено,47
Практика программирования,"Керниган Брайан, Пайк Роб",Вильямс,2286,4313,На складе,47
Введение в системы баз данных,Дейт К. Дж.,Диалектика,5851,11040,На складе,47
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,1338,1716,На складе,22
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1094,2064,На складе,47
Философия Java,Эккель Брюс,Питер:Классика computer science,2530,3244,На складе,22
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер:Библиотека программиста,944,1210,На складе,22
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер:Бестселлеры O`Reilly,1820,2333,На складе,22
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань:Учебники для вузов. Специальная литература,849,1601,На складе,47
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань:Учебники для вузов. Специальная литература,1118,2109,На складе,47
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,1367,2580,На складе,47
Язык программирования C,"Керниган Брайан, Ритчи Деннис",Вильямс,1789,3375,На складе,47
Построение систем машинного обучения на языке Python,"Коэльо Луис Педро, Ричарт Вилли",ДМК-Пресс,957,1806,На складе,47
Head First. Паттерны проектирования. Обновленное юбилейное издание,Фримен Эрик и др.,Питер:Head First (O'Reilly),1730,2218,На складе,22
C# для профессионалов. Тонкости программирования,Скит Джон,Вильямс,4472,8438,На складе,47
Python. Карманный справочник,Лутц Марк,Диалектика,1193,2250,На складе,47
"Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений","Хоп Грегор, Вульф Бобби",Диалектика,4854,9159,На складе,47
Реализация методов предметно-ориентированного проектирования,Вернон Вон,Диалектика,4472,8438,Ограничено,47
Веб-программирование для чайников,Никхил Абрахам,"Диалектика:Для ""чайников""",1649,3112,Ограничено,47
PHP7 для начинающих с пошаговыми инструкциями,МакГрат Майк,Эксмо-Пресс:Программирование - это просто,630,863,На складе,27
Angular. Сборник рецептов,Фрисби Мэтт,Вильямс,1374,2592,Ограничено,47
Исследование операций,Таха Хемди А.,Диалектика,2981,5625,На складе,47
Компиляторы. Краткий справочник,Хантер Робин,Вильямс,909,1715,Ограничено,47
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1094,2064,На складе,47
Структуры данных и алгоритмы,Ахо Альфред В. и др.,Вильямс,2981,5625,На складе,47
Шаблоны C++. Справочник разработчика,Вандевурд Дэвид и др.,Диалектика,3481,6567,На складе,47
Java Persistence API и Hibernate,Бауэр Кристиан и др.,ДМК-Пресс,1367,2580,На складе,47
Байесовские модели. Байесовская статистика на языке Python,Дауни Аллен Б.,ДМК-Пресс,957,1806,На складе,47
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание,Рихтер Джеффри,Питер:Мастер-класс,2155,2763,На складе,22
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных,Льюис Джонатан,ДМК-Пресс,1094,2064,На складе,47
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,751,963,На складе,22
Apache Kafka. Потоковая обработка и анализ данных,Нархид Ния и др.,Питер:Бестселлеры O`Reilly,1594,2043,На складе,22
Site Reliability Engineering. Надежность и безотказность как в Google,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,2019,2588,На складе,22
Akka в действии,Рестенбург Раймонд и др.,ДМК-Пресс,1367,2580,На складе,47
Искусство создания сценариев в Unity,Торн Алан,ДМК-Пресс,1094,2064,На складе,47
Основы работы с технологией CUDA,"Боресков Алексей Викторович, Харламов Александр Александрович",ДМК-Пресс,549,1035,На складе,47
WebGL. Программирование трехмерной графики,"Мацуда Коичи, Ли Роджер",ДМК-Пресс,1094,2064,На складе,47
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер:Библиотека программиста,1353,1734,На складе,22
Теория измеримых множеств и мультимножеств,Петровский Алексей Борисович,Наука,609,1149,На складе,47
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,ДМК-Пресс,1230,2321,На складе,47
"Искусственный интеллект .NET. Речь, язык и поиск","Патак Нишит, Бхандари Анураг",ДМК-Пресс,1094,2064,Ограничено,47
Элегантный SciPy,Нуньес-Иглесиас Хуан и др.,ДМК-Пресс,1299,2450,На складе,47
Стандартная библиотека Python 3. Справочник с примерами,Хеллман Даг,Диалектика,5037,9504,На складе,47
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1060,2000,На складе,47
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,ДМК-Пресс,1025,1934,Ограничено,47
Математика на Python. Часть 1. Элементы линейной алгебры,Александрова Ирина Александровна и др.,Прометей,285,537,Ограничено,47
Облачные технологии поддержки решения задач анализа безубыточности. Монография,Смирнов Денис Евгеньевич,Прометей,316,596,Ограничено,47
Программист-фанатик,Фаулер Чед,Питер:Библиотека программиста,686,880,На складе,22
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов,Прайс Марк Дж.,Питер:Библиотека программиста,2023,2594,На складе,22
Компьютерные вирусы и антивирусы: взгляд программиста,Климентьев Константин Евгеньевич,ДМК-Пресс:Профессиональное программирование,1094,2064,На складе,47
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Учебники для вузов. Специальная литература,732,1381,На складе,47
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1124,1540,На складе,27
Хакинг. Искусство эксплойта,Эриксон Джон,Питер,1810,2321,На складе,22
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,1560,2000,На складе,22
Java SE 9. Базовый курс,Хорстманн Кей С.,Диалектика,3837,7240,Ограничено,47
LabVIEW в научных исследованиях,Евдокимов Юрий Кириллович и др.,ДМК-Пресс:Все о LabVIEW,1025,1934,На складе,47
Python. Разработка на основе тестирования,Персиваль Гарри,ДМК-Пресс,2051,3869,На складе,47
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,824,1056,На складе,22
Разработка одностраничных веб-приложений,"Миковски Майкл С., Пауэлл Джош К.",ДМК-Пресс,1094,2064,На складе,47
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер:Библиотека программиста,782,1002,На складе,22
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс:Для программистов,683,1289,На складе,47
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс:Радиоэлектроника,512,966,На складе,47
Запускаем Ansible,"Хохштейн Лорин, Мозер Рене",ДМК-Пресс,1367,2580,На складе,47
Современный Java. Рецепты программирования,Коузен Кен,ДМК-Пресс,1094,2064,На складе,47
Сам себе программист. Как научиться программировать и устроиться в Ebay?,Альтхофф Кори,Бомбора:Мировой компьютерный бестселлер,716,981,На складе,27
"Программное обеспечение геодезии, фотограм, кадастра, инж.из.",Браверман Борис Аронович,Инфра-Инженерия,763,1440,На складе,47
