book_title,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,1367,2580,На складе,47
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,1230,2321,На складе,47
Интерфейс. Основы проектирования взаимодействия,Купер Алан и др.,Питер:Для профессионалов,2051,2629,На складе,22
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,820,1547,На складе,47
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,ДМК-Пресс,957,1806,На складе,47
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,549,1035,Ограничено,47
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,957,1806,На складе,47
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,1367,2580,На складе,47
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1230,2321,Ограничено,47
Основы программирования. Учебник с практикумом,Макарова Наталья Владимировна и др.,Кнорус:Среднее профессиональное образование,1250,2359,Ограничено,47
"Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,507,956,На складе,47
Спортивное программирование,"Халим Стивен, Халим Феникс",ДМК-Пресс,1914,3611,На складе,47
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,2286,4313,На складе,47
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,352,665,На складе,47
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,3030,5717,На складе,47
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань:Учебники для вузов. Специальная литература,1489,2810,Ограничено,47
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Среднее профессиональное образование,550,1038,Ограничено,47
Python для программирования криптовалют,Сонг Джимми,Диалектика,3481,6567,На складе,47
Алгоритмы оптимизации,"Кохендерфер Майкл, Уилер Тим",Вильямс,4472,8438,Ограничено,47
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер:Библиотека программиста,1565,2007,На складе,22
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,1367,2580,На складе,47
